CustomerKey,First trade,Last trade,Total volume,Number of trade,% bike,% clothing,% accessories
14572,19/02/2014,23/07/2016,"3715,1664",3,"66,67%","0,00%","33,33%"
19325,19/02/2014,17/11/2016,"11911,1564",5,"60,00%","20,00%","20,00%"
28061,19/02/2014,04/11/2016,"9584,59",4,"50,00%","25,00%","25,00%"
26629,19/02/2014,19/02/2014,"1398,1964",1,"100,00%","0,00%","0,00%"
16744,19/02/2014,09/03/2016,"9648,86",5,"40,00%","0,00%","60,00%"
25555,19/02/2014,25/10/2016,"2555,1164",5,"40,00%","20,00%","40,00%"
27678,20/02/2014,20/02/2014,"14313,08",1,"100,00%","0,00%","0,00%"
27759,20/02/2014,20/02/2014,"14313,08",1,"100,00%","0,00%","0,00%"
13680,20/02/2014,07/08/2016,"16683,05",5,"40,00%","0,00%","60,00%"
13514,20/02/2014,05/12/2016,"16708,05",5,"40,00%","0,00%","60,00%"
11052,20/02/2014,28/05/2016,"18256,29",7,"42,86%","0,00%","57,14%"
16928,20/02/2014,20/06/2016,"15433,57",2,"100,00%","0,00%","0,00%"
27917,21/02/2014,21/02/2014,"3578,27",1,"100,00%","0,00%","0,00%"
13693,21/02/2014,07/12/2016,"13311,53",6,"50,00%","16,67%","33,33%"
11247,21/02/2014,18/08/2016,"7131,51",12,"33,33%","8,33%","58,33%"
28078,21/02/2014,18/12/2016,"6011,31",5,"40,00%","0,00%","60,00%"
25876,21/02/2014,19/08/2016,"4629,07",5,"40,00%","0,00%","60,00%"
16701,21/02/2014,21/03/2016,"5275,21",4,"50,00%","50,00%","0,00%"
16931,21/02/2014,12/06/2016,"4767,73",5,"40,00%","0,00%","60,00%"
11032,21/02/2014,11/11/2016,"6525,56",10,"30,00%","10,00%","60,00%"
22008,22/02/2014,11/12/2016,"4141,23",5,"40,00%","20,00%","40,00%"
19830,22/02/2014,04/11/2016,"5765,92",7,"28,57%","28,57%","42,86%"
16663,22/02/2014,16/02/2016,"4471,74",4,"50,00%","50,00%","0,00%"
16708,22/02/2014,27/04/2016,"6892,15",4,"50,00%","25,00%","25,00%"
17045,22/02/2014,22/04/2016,"4480,73",5,"40,00%","60,00%","0,00%"
21921,23/02/2014,16/12/2016,"4142,75",3,"66,67%","33,33%","0,00%"
17048,23/02/2014,21/05/2016,"4382,75",3,"66,67%","0,00%","33,33%"
11050,23/02/2014,22/11/2016,"5007,3",6,"50,00%","16,67%","33,33%"
12131,24/02/2014,12/10/2016,"23093,48",11,"45,45%","9,09%","45,45%"
13689,24/02/2014,25/08/2016,"5898,26",2,"100,00%","0,00%","0,00%"
11243,24/02/2014,11/06/2016,"7164,25",12,"33,33%","8,33%","58,33%"
16693,24/02/2014,07/01/2016,"13507,19",5,"40,00%","0,00%","60,00%"
16702,24/02/2014,09/01/2016,"6021,62",2,"100,00%","0,00%","0,00%"
16707,24/02/2014,08/04/2016,"4377,75",3,"66,67%","0,00%","33,33%"
17046,24/02/2014,30/04/2016,"4467,74",4,"50,00%","50,00%","0,00%"
25272,24/02/2014,06/08/2016,"1873,5782",3,"66,67%","33,33%","0,00%"
25868,24/02/2014,07/06/2016,"8196,09",4,"50,00%","0,00%","50,00%"
17971,25/02/2014,29/09/2016,"7643,0182",3,"66,67%","0,00%","33,33%"
11057,25/02/2014,22/05/2016,"8088,04",4,"75,00%","25,00%","0,00%"
16742,25/02/2014,15/03/2016,"13443,55",5,"40,00%","20,00%","40,00%"
13678,26/02/2014,23/08/2016,"16576,46",3,"66,67%","0,00%","33,33%"
13679,26/02/2014,02/08/2016,"16576,5",3,"66,67%","0,00%","33,33%"
13690,26/02/2014,09/11/2016,"12004,17",6,"50,00%","0,00%","50,00%"
28394,26/02/2014,21/08/2016,"7955,46",3,"66,67%","0,00%","33,33%"
28064,26/02/2014,09/11/2016,"11924,68",2,"100,00%","0,00%","0,00%"
25878,26/02/2014,18/08/2016,"8049,82",3,"66,67%","0,00%","33,33%"
16713,26/02/2014,12/02/2016,"9668,86",5,"40,00%","0,00%","60,00%"
13538,27/02/2014,06/12/2016,"18973,04",3,"66,67%","0,00%","33,33%"
17050,27/02/2014,15/05/2016,"15231,04",5,"40,00%","60,00%","0,00%"
13691,28/02/2014,29/08/2016,"8375,21",5,"40,00%","20,00%","40,00%"
16637,28/02/2014,11/12/2016,"5900,55",3,"66,67%","0,00%","33,33%"
19329,28/02/2014,01/12/2016,"2459,0682",4,"50,00%","50,00%","0,00%"
13542,28/02/2014,05/12/2016,"5943,24",4,"50,00%","0,00%","50,00%"
13543,28/02/2014,26/12/2016,"5923,23",5,"40,00%","0,00%","60,00%"
13559,28/02/2014,03/07/2016,"13498,65",7,"42,86%","0,00%","57,14%"
14577,28/02/2014,10/07/2016,"1505,8582",5,"40,00%","0,00%","60,00%"
11056,28/02/2014,02/06/2016,"8207,5",8,"37,50%","25,00%","37,50%"
16688,28/02/2014,02/01/2016,"6081,1",4,"50,00%","25,00%","25,00%"
25273,28/02/2014,18/08/2016,"1898,0682",4,"50,00%","50,00%","0,00%"
27919,28/02/2014,03/11/2016,"13330,51",3,"66,67%","33,33%","0,00%"
28041,28/02/2014,28/02/2014,"3578,27",1,"100,00%","0,00%","0,00%"
11240,28/02/2014,14/05/2016,"8824,05",13,"30,77%","15,38%","53,85%"
22050,28/02/2014,18/06/2016,"4160,53",5,"40,00%","0,00%","60,00%"
28062,28/02/2014,30/11/2016,"8346,41",2,"100,00%","0,00%","0,00%"
25867,28/02/2014,30/06/2016,"5784,06",2,"100,00%","0,00%","0,00%"
17049,28/02/2014,18/05/2016,"4347,76",2,"100,00%","0,00%","0,00%"
13541,28/02/2014,01/07/2016,"13727,51",9,"33,33%","0,00%","66,67%"
28395,28/02/2014,13/09/2016,"4554,46",4,"50,00%","50,00%","0,00%"
19829,28/02/2014,28/07/2016,"4533,45",5,"40,00%","20,00%","40,00%"
16691,28/02/2014,14/03/2016,"5365,21",4,"50,00%","50,00%","0,00%"
16656,28/02/2014,20/12/2016,"8282,19",4,"50,00%","0,00%","50,00%"
11044,28/02/2014,11/11/2016,"6515,3",7,"42,86%","14,29%","42,86%"
13821,01/03/2014,13/09/2016,"5940,54",5,"40,00%","0,00%","60,00%"
28156,01/03/2014,09/12/2016,"5997,33",3,"66,67%","0,00%","33,33%"
22114,01/03/2014,01/06/2016,"5998,11",5,"40,00%","0,00%","60,00%"
17328,01/03/2014,08/12/2016,"4387,74",4,"50,00%","0,00%","50,00%"
13765,02/03/2014,30/12/2016,"10730,36",5,"60,00%","0,00%","40,00%"
13792,02/03/2014,24/12/2016,"10794,35",7,"42,86%","14,29%","42,86%"
12221,02/03/2014,21/07/2016,"9546,52",4,"50,00%","0,00%","50,00%"
13572,02/03/2014,11/12/2016,"9523,5",4,"50,00%","25,00%","25,00%"
22058,02/03/2014,03/12/2016,"7696,53",2,"100,00%","0,00%","0,00%"
28145,02/03/2014,02/03/2014,"7156,54",1,"100,00%","0,00%","0,00%"
17071,02/03/2014,20/06/2016,"7996,02",3,"66,67%","33,33%","0,00%"
17309,02/03/2014,09/06/2016,"9608,88",3,"66,67%","0,00%","33,33%"
17310,02/03/2014,07/06/2016,"12059,14",3,"66,67%","0,00%","33,33%"
17320,02/03/2014,28/11/2016,"7970,01",4,"50,00%","25,00%","25,00%"
28172,03/03/2014,03/03/2014,"14313,08",1,"100,00%","0,00%","0,00%"
17242,03/03/2014,21/08/2016,"15122,04",5,"40,00%","20,00%","40,00%"
17315,03/03/2014,23/06/2016,"16765,42",3,"66,67%","0,00%","33,33%"
25558,03/03/2014,03/10/2016,"3404,3528",5,"40,00%","20,00%","40,00%"
11334,04/03/2014,28/07/2016,"8154,02",6,"50,00%","0,00%","50,00%"
28168,04/03/2014,04/03/2014,"3578,27",1,"100,00%","0,00%","0,00%"
28181,04/03/2014,04/03/2014,"3578,27",1,"100,00%","0,00%","0,00%"
28131,04/03/2014,11/12/2016,"6011,31",5,"40,00%","0,00%","60,00%"
25887,04/03/2014,21/08/2016,"4673,31",5,"40,00%","20,00%","40,00%"
17055,04/03/2014,21/05/2016,"4347,76",2,"100,00%","0,00%","0,00%"
13567,05/03/2014,24/12/2016,"5935,55",4,"50,00%","0,00%","50,00%"
28182,05/03/2014,05/03/2014,"3578,27",1,"100,00%","0,00%","0,00%"
28186,05/03/2014,05/03/2014,"3578,27",1,"100,00%","0,00%","0,00%"
13772,06/03/2014,23/09/2016,"5928,25",3,"66,67%","0,00%","33,33%"
